"","country","pageid","wikidataid","wikititle","name","sex","ethnicity","religion","birth","death","birthplace","deathplace"
"96","USA-S",54074020,"Q30122825","Doug_Jones_(politician)","Doug Jones","male","white",NA,1954-05-04,NA,"33.47667,-86.91667",NA
"97","USA-S",3120522,"Q10853588","Kamala_Harris","Kamala Harris","female","asian","protestantism baptist",1964-10-20,NA,"37.8,-122.25",NA
"98","USA-S",3691615,"Q3036410","Tammy_Duckworth","Tammy Duckworth","female","asian",NA,1968-03-12,NA,"13.75,100.51667",NA
"99","USA-S",29303304,"Q25483","Todd_Young","Todd Young","male","white",NA,1972-08-24,NA,"40.03972,-76.30444",NA
"100","USA-S",6024062,"Q6250211","John_Kennedy_(Louisiana_politician)","John Kennedy","male","white","protestantism methodist",1951-11-21,NA,"31.0858,-91.065",NA
"101","USA-S",414579,"Q1077819","Chris_Van_Hollen","Chris Van Hollen","male","white","anglicanism",1959-01-10,NA,"24.86,67.01",NA
"102","USA-S",44307500,"Q18631509","Tina_Smith","Tina Smith","female","white",NA,1958-03-04,NA,"35.11667,-106.61667",NA
"103","USA-S",16180456,"Q5120540","Cindy_Hyde-Smith","Cindy Hyde-Smith","female","white","protestantism baptist",1959-05-10,NA,"31.58194,-90.44306",NA
"104","USA-S",11822552,"Q5052604","Catherine_Cortez_Masto","Catherine Cortez Masto","female","hispanic",NA,1964-03-29,NA,"36.16917,-115.14472",NA
"105","USA-S",13396981,"Q24053","Maggie_Hassan","Maggie Hassan","female","white",NA,1958-02-27,NA,"42.35778,-71.06167",NA
